code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail
AAA,2013J,1472925,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,Fail
AAA,2014J,147756,M,North Region,Lower Than A Level,60-70%,0-35,1,120,N,Pass
AAA,2014J,1472925,F,East Anglian Region,Lower Than A Level,40-50%,35-55,1,60,Y,Pass
AAA,2014J,2596621,M,South West Region,A Level or Equivalent,50-60%,55<=,0,60,N,Pass
BBB,2013B,110881,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
BBB,2013B,142324,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail
BBB,2013B,237913,F,North Western Region,A Level or Equivalent,20-30%,0-35,1,60,N,Fail
BBB,2013B,365488,F,Wales,A Level or Equivalent,60-70%,0-35,1,60,N,Fail
BBB,2013B,433939,F,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail
BBB,2013B,473095,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,120,N,Fail
BBB,2013B,483411,F,East Midlands Region,Lower Than A Level,10-20,0-35,1,120,N,Fail
BBB,2013B,505871,F,South West Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
BBB,2013B,521081,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0,90,Y,Fail
BBB,2013B,546202,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail
BBB,2013B,549078,F,London Region,A Level or Equivalent,10-20,0-35,0,90,N,Fail
BBB,2013B,557351,F,South West Region,A Level or Equivalent,50-60%,0-35,0,90,N,Fail
BBB,2013B,560208,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
BBB,2013J,151917,F,West Midlands Region,A Level or Equivalent,10-20,0-35,3,60,N,Fail
BBB,2013J,303617,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Fail
BBB,2013J,345128,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,2,90,N,Fail
BBB,2013J,373174,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,1,60,N,Fail
