id_assessment,id_student,date_submitted,is_banked,score,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
1752,155550,19,0,75.0,AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
1753,155550,54,0,66.0,AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
1754,155550,117,0,68.0,AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
1755,155550,170,0,61.0,AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
1756,155550,215,0,65.0,AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
1758,409100,17,0,68.0,AAA,2014J,M,South East Region,HE Qualification,80-90%,35-55,0,60,N,Pass
1759,409100,53,0,72.0,AAA,2014J,M,South East Region,HE Qualification,80-90%,35-55,0,60,N,Pass
1760,409100,116,0,82.0,AAA,2014J,M,South East Region,HE Qualification,80-90%,35-55,0,60,N,Pass
1761,409100,165,0,80.0,AAA,2014J,M,South East Region,HE Qualification,80-90%,35-55,0,60,N,Pass
1762,409100,214,0,85.0,AAA,2014J,M,South East Region,HE Qualification,80-90%,35-55,0,60,N,Pass
14984,123860,18,0,60.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14985,123860,46,0,75.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14986,123860,89,0,77.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14987,123860,124,0,65.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14988,123860,159,0,75.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14989,123860,187,0,85.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14991,123860,60,0,100.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14992,123860,95,0,60.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14993,123860,126,0,100.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14994,123860,164,0,80.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14995,123860,189,0,80.0,BBB,2013B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
14984,173335,18,0,73.0,BBB,2013B,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail
14985,173335,48,0,60.0,BBB,2013B,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail
14986,173335,89,0,71.0,BBB,2013B,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail
14987,173335,124,0,77.0,BBB,2013B,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail
14988,173335,159,0,35.0,BBB,2013B,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail
14991,173335,60,0,100.0,BBB,2013B,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail
14992,173335,95,0,100.0,BBB,2013B,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail
14993,173335,126,0,80.0,BBB,2013B,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail
14994,173335,164,0,100.0,BBB,2013B,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail
14984,441000,19,0,52.0,BBB,2013B,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Fail
14991,441000,60,0,100.0,BBB,2013B,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Fail
14992,441000,95,0,100.0,BBB,2013B,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Fail
14984,510845,25,0,70.0,BBB,2013B,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
14985,510845,47,0,45.0,BBB,2013B,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
14986,510845,89,0,68.0,BBB,2013B,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
14987,510845,138,0,49.0,BBB,2013B,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
14988,510845,159,0,53.0,BBB,2013B,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
14991,510845,60,0,100.0,BBB,2013B,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
14992,510845,95,0,80.0,BBB,2013B,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
14993,510845,126,0,80.0,BBB,2013B,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
14994,510845,164,0,80.0,BBB,2013B,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
14984,514140,17,0,61.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14985,514140,47,0,71.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14986,514140,95,0,55.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14987,514140,123,0,65.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
14988,514140,156,0,70.0,BBB,2013B,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
